age,education,marital-status,relationship,sex,income
39,Bachelors,Never-married,,Male,<=50K
50,Bachelors,,Husband,,
38,HS-grad,Divorced,,Male,<=50K
53,11th,Married-civ-spouse,Husband,Male,<=50K
28,Bachelors,,,Female,
37,Masters,,Wife,,
49,9th,Married-spouse-absent,Not-in-family,Female,<=50K
52,,Married-civ-spouse,,,
,Masters,Never-married,Not-in-family,Female,>50K
42,Bachelors,Married-civ-spouse,,Male,
37,Some-college,,,Male,
30,Bachelors,Married-civ-spouse,,Male,>50K
23,Bachelors,Never-married,Own-child,,
32,Assoc-acdm,,,Male,<=50K
40,,Married-civ-spouse,Husband,Male,
34,7th-8th,Married-civ-spouse,Husband,,
25,HS-grad,Never-married,Own-child,Male,
32,,,Unmarried,Male,<=50K
38,,Married-civ-spouse,Husband,Male,<=50K
43,Masters,Divorced,,,
40,Doctorate,Married-civ-spouse,Husband,,>50K
,,Separated,Unmarried,Female,<=50K
35,9th,Married-civ-spouse,Husband,Male,
43,,,Husband,Male,<=50K
59,HS-grad,,Unmarried,Female,
56,,,Husband,Male,
19,HS-grad,Never-married,Own-child,,<=50K
54,Some-college,Married-civ-spouse,,Male,
39,HS-grad,Divorced,Not-in-family,,<=50K
49,HS-grad,Married-civ-spouse,,,<=50K
23,,Never-married,,Male,
,Some-college,Never-married,Own-child,,
45,Bachelors,,Own-child,,<=50K
,Some-college,Married-civ-spouse,Own-child,Male,
,Some-college,Married-civ-spouse,,,<=50K
,11th,Never-married,Unmarried,Male,
21,Some-college,Never-married,Own-child,Male,<=50K
19,HS-grad,Married-AF-spouse,Wife,,<=50K
,,Married-civ-spouse,Husband,,>50K
,Assoc-acdm,,Husband,,<=50K
31,9th,,Husband,Male,<=50K
53,Bachelors,Married-civ-spouse,Husband,,
24,Bachelors,Married-civ-spouse,Husband,Male,<=50K
49,,Separated,Unmarried,,<=50K
25,HS-grad,Never-married,Not-in-family,Male,
57,Bachelors,Married-civ-spouse,Husband,,>50K
53,HS-grad,Married-civ-spouse,Husband,Male,
44,Masters,Divorced,Unmarried,Female,
41,,Married-civ-spouse,Husband,Male,
29,Assoc-voc,Never-married,Not-in-family,,<=50K
25,,Married-civ-spouse,,Female,
18,HS-grad,Never-married,,Female,
47,Prof-school,Married-civ-spouse,Wife,,>50K
50,Bachelors,Divorced,Not-in-family,Male,>50K
47,HS-grad,,,,
43,,Married-civ-spouse,Husband,,
